"","Species","Status","Interactivity","Availability","continents","regions","biomes","maturity","gestation","class","order","family","genus","image_link","compatible","version"
"145","Caracal","Least concern","Full","Grasslands Animal Pack","Africa, Asia","Morocco, Algeria, Egypt, Mali, Niger, Chad, Sudan, South Sudan, Ethiopia, Senegal, The Gambia, Guinea-Bissau, Guinea, Burkina Faso, Ivory Coast, Ghana, Togo, Benin, Nigeria, Cameroon, Central African Republic, Uganda, Kenya, Somalia, Tanzania, Democratic Republic of Congo, Angola, Zambia, Malawi, Namibia, Botswana, Zimbabwe, Mozambique, South Africa, Lesotho, Eswatini, Turkey, Lebanon, Syria, Israel, Jordan, Saudi Arabia, Yemen, Oman, Iraq, Iran, Kazakhstan, Turkmenistan, Uzbekistan, Afghanistan, Pakistan, India","Desert,Grassland,Temperate","1.5 years","2 months","Mammalia","Carnivora","Felidae","Caracal",NA,"","Grasslands Animal Pack"
"146","Red-Necked Wallaby","Least concern","Full","Grasslands Animal Pack","Oceania","Australia, Tasmania","Grassland,Temperate","1.5 years","8 months","Mammalia","Diprotodontia","Macropodidae","Notamacropus",NA,"Emu,Red Kangaroo","Grasslands Animal Pack"
"147","Striped Hyena","Near threatened","Full","Grasslands Animal Pack","Africa, Asia","Morocco, Algeria, Libya, Egypt, Mali, Niger, Chad, Sudan, South Sudan, Ethiopia, Senegal, Burkina Faso, Ivory Coast, Ghana, Togo, Benin, Nigeria, Cameroon, Central African Republic, Uganda, Kenya, Somalia, Tanzania, Turkey, Lebanon, Syria, Israel, Jordan, Saudi Arabia, Yemen, Oman, United Arab Emirates, Iraq, Iran, Turkmenistan, Uzbekistan, Afghanistan, Pakistan, India, Nepal","Desert,Tropical,Grassland,Temperate","2 years","3 months","Mammalia","Carnivora","Hyaenidae","Hyaena",NA,"","Grasslands Animal Pack"
"148","Blue Wildebeest","Least concern","Full","Grasslands Animal Pack","Africa","Kenya, Tanzania, Angola, Zambia, Namibia, Botswana, Zimbabwe, Mozambique, South Africa, Eswatini","Grassland","4 years","8 months","Mammalia","Artiodactyla","Bovidae","Connochaetes",NA,"African Buffalo,Black Wildebeest,Common Ostrich,Common Warthog,Plains Zebra,Reticulated Giraffe,Sable Antelope,Southern White Rhinoceros,Springbok,Thomson's Gazelle","Grasslands Animal Pack"
"149","Cloudless Sulphur","Least concern","Exhibit","Grasslands Animal Pack","North and South America","USA, Mexico, Guatemala, Belize, Honduras, Nicaragua, Costa Rica, Panama, Cuba, Jamaica, Haiti, Dominican Republic, Puerto Rico, Colombia, Venezuela, Ecuador, Peru, Bolivia, Brazil, Paraguay, Uruguay, Chile, Argentina","","1.5 months","0 months","Insecta","Lepidoptera","Pieridae","Phoebis",NA,NA,"Grasslands Animal Pack"
"150","European Peacock","Least concern","Exhibit","Grasslands Animal Pack","Europe, Asia","All of Europe and temperate Asia including Russia and Japan","","1.5 months","0 months","Insecta","Lepidoptera","Nymphalidae","Aglais",NA,NA,"Grasslands Animal Pack"
"151","Menelaus Blue Morpho","Data deficient","Exhibit","Grasslands Animal Pack","South America","Venezuela, Guyana, Suriname, French Guiana, Brazil, Colombia, Ecuador, Peru, Bolivia, Paraguay","","3 months","0 months","Insecta","Lepidoptera","Nymphalidae","Morpho",NA,NA,"Grasslands Animal Pack"
"152","Monarch","Endangered","Exhibit","Grasslands Animal Pack","North America, South America, Asia, Oceania (occasional migrants found in Europe and Africa)","Found worldwide due to migration pathways, with the exception of (sub-)Arctic and (sub-)Antarctic regions","","1 month","0 months","Insecta","Lepidoptera","Nymphalidae","Danaus",NA,NA,"Grasslands Animal Pack"
"153","Old World Swallowtail","Least concern","Exhibit","Grasslands Animal Pack","Europe, Asia, North America","All of europe, northern and central Asia, USA, Canada","","1.5 months","0 months","Insecta","Lepidoptera","Papilionidae","Papilio",NA,NA,"Grasslands Animal Pack"
"154","Fossa","Vulnerable","Full","Tropical Pack","Africa","Madagascar","Tropical","4 years","3 months","Mammalia","Carnivora","Eupleridae","Cryptoprocta",NA,"","Tropical Pack"
"155","Asian Water Monitor","Least concern","Full","Tropical Pack","Asia","India, Sri Lanka, Bangladesh, Myanmar, Thailand, Laos, Vietnam, China, Cambodia, Malaysia, Indonesia, Brunei","Tropical,Grassland,Aquatic","3 years","8 months","Reptilia","Squamata","Varanidae","Varanus",NA,"","Tropical Pack"
"156","Lar Gibbon","Endangered","Full","Tropical Pack","Asia","Myanmar, Thailand, Malaysia, Indonesia, China","Tropical","9 years","7 months","Mammalia","Primates","Hylobatidae","Hylobates",NA,"Asian Small-Clawed Otter,Bornean Orangutan,Siamang","Tropical Pack"
"157","Red River Hog","Least concern","Full","Tropical Pack","Africa","Senegal, The Gambia, Mali, Guinea-Bissau, Guinea, Sierra Leone, Liberia, Ivory Coast, Ghana, Togo, Benin, Nigeria, Cameroon, Chad, Central African Republic, South Sudan, Equatorial Guinea, Gabon, Congo, Democratic Republic of the Congo, Uganda, Angola, Rwanda, Burundi","Tropical,Grassland,Aquatic","3 years","4 months","Mammalia","Artiodactyla","Suidae","Potamochoerus",NA,"African Buffalo,Bongo,Bonobo,Hippopotamus,Mandrill,Nile Lechwe,Okapi,Pygmy Hippo,Western Chimpanzee,Western Lowland Gorilla","Tropical Pack"
"158","Brown-throated Sloth","Least concern","Exhibit","Tropical Pack","South America, Central America","Honduras, Nicaragua, Costa Rica, Panama, Colombia, Venezuela, Ecuador, Peru, Bolivia, Brazil","","4 years","8 months","Mammalia","Pilosa","Bradypodidae","Bradypus",NA,NA,"Tropical Pack"
